indicador,region,rank_2025,score_2025,rank_2024,score_2024,rank_2019,score_2019
Delitos denunciados por minería ilegal,Huancavelica,19,1.43,18,1.05,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Huancavelica,19,0.56,19,0.56,21,0.35
Agua no facturada,Huancavelica,10,35.1,11,35.1,14,37.9
Viviendas informales,Huancavelica,11,64.1,18,73,14,61.2
Pérdidas por incendios forestales,Huancavelica,15,0.5,16,0.33,15,0.2
Ejecución del gasto destinado a prevención y reducción de desastres,Huancavelica,2,95.4,7,89.5,25,26.7
Conflictos socioambientales activos,Huanuco,18,0.54,12,0.4,8,0.13
Delitos denunciados por minería ilegal,Huanuco,24,3.54,23,1.41,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Huanuco,11,0.95,11,0.95,18,0.44
Agua no facturada,Huanuco,14,38.4,18,42.5,13,35.4
Viviendas informales,Huanuco,18,73.1,16,70.6,11,58.9
Pérdidas por incendios forestales,Huanuco,23,1.2,19,0.4,18,0.2
Ejecución del gasto destinado a prevención y reducción de desastres,Huanuco,13,84.7,15,83.2,11,78.1
Conflictos socioambientales activos,Ica,1,0,1,0,1,0
Delitos denunciados por minería ilegal,Ica,6,0.31,7,0.24,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Ica,13,0.81,13,0.81,9,1.02
Agua no facturada,Ica,17,39.7,14,38.7,9,32.9
Viviendas informales,Ica,5,56.1,5,56.3,5,48.6
Pérdidas por incendios forestales,Ica,3,0.04,7,0.02,6,0.03
Ejecución del gasto destinado a prevención y reducción de desastres,Ica,3,94.4,13,83.9,24,51.4
Conflictos socioambientales activos,Junin,9,0.14,10,0.36,12,0.3
Delitos denunciados por minería ilegal,Junin,12,0.62,6,0.22,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Junin,14,0.79,14,0.79,14,0.56
Agua no facturada,Junin,16,39,13,38.5,19,44.8
Viviendas informales,Junin,19,73.7,15,70.5,18,63.9
Pérdidas por incendios forestales,Junin,18,0.87,21,0.61,16,0.2
Ejecución del gasto destinado a prevención y reducción de desastres,Junin,14,84.1,5,90.2,9,79.4
Conflictos socioambientales activos,La Libertad,8,0.09,4,0.1,6,0.1
Delitos denunciados por minería ilegal,La Libertad,20,1.8,20,1.15,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,La Libertad,9,1.13,9,1.13,12,0.77
Agua no facturada,La Libertad,22,51,22,49.5,21,49.6
Viviendas informales,La Libertad,6,56.2,6,56.3,7,52.3
Pérdidas por incendios forestales,La Libertad,20,0.96,17,0.36,24,0.35
Ejecución del gasto destinado a prevención y reducción de desastres,La Libertad,20,77.7,8,89.3,18,69.3
Conflictos socioambientales activos,Lambayeque,1,0,1,0,1,0
Delitos denunciados por minería ilegal,Lambayeque,3,0.15,2,0.12,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Lambayeque,7,1.89,7,1.89,13,0.68
Agua no facturada,Lambayeque,20,45.4,19,42.8,20,49.2
Viviendas informales,Lambayeque,3,51.9,3,53.8,8,52.7
Pérdidas por incendios forestales,Lambayeque,4,0.06,4,0.02,19,0.24
Ejecución del gasto destinado a prevención y reducción de desastres,Lambayeque,17,82.5,6,89.7,21,63.9
Conflictos socioambientales activos,Lima,6,0.01,3,0.01,1,0
Delitos denunciados por minería ilegal,Lima,1,0.06,1,0.05,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Lima,4,2.96,4,2.96,4,2.79
Agua no facturada,Lima,7,33.3,8,32.3,4,27.8
Viviendas informales,Lima,8,58.4,8,60,9,58.6
Pérdidas por incendios forestales,Lima,5,0.07,5,0.02,3,0.01
Ejecución del gasto destinado a prevención y reducción de desastres,Lima,11,86.6,21,73.3,4,86.8
Conflictos socioambientales activos,Lima Provincias,13,0.33,17,0.6,14,0.38
Delitos denunciados por minería ilegal,Lima Provincias,11,0.49,13,0.47,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Lima Provincias,15,0.78,15,0.78,10,1.01
Agua no facturada,Lima Provincias,15,38.9,15,38.9,18,44.6
Viviendas informales,Lima Provincias,15,68.3,19,74,22,70.5
Pérdidas por incendios forestales,Lima Provincias,13,0.43,10,0.1,9,0.09
Ejecución del gasto destinado a prevención y reducción de desastres,Lima Provincias,24,71.2,22,70.6,7,84.6
Conflictos socioambientales activos,Loreto,23,1.42,23,1.9,2,0.8
Delitos denunciados por minería ilegal,Loreto,7,0.37,3,0.15,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Loreto,18,0.7,18,0.7,2,4.78
Agua no facturada,Loreto,23,60.5,23,57.1,24,58.6
Viviendas informales,Loreto,23,78.5,21,76.9,19,65
Pérdidas por incendios forestales,Loreto,2,0.02,3,0.01,1,0
Ejecución del gasto destinado a prevención y reducción de desastres,Loreto,6,92.9,24,65.9,2,94.8
Conflictos socioambientales activos,Madre de Dios,1,0,16,0.52,18,0.62
Delitos denunciados por minería ilegal,Madre de Dios,25,24.15,25,25.25,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Madre de Dios,8,1.82,8,1.82,7,1.79
Agua no facturada,Madre de Dios,4,30.5,5,30.2,11,33.9
Viviendas informales,Madre de Dios,25,85.2,24,82.4,25,78.8
Pérdidas por incendios forestales,Madre de Dios,10,0.22,2,0.01,2,0
Ejecución del gasto destinado a prevención y reducción de desastres,Madre de Dios,1,98.4,11,86.3,8,82.7
Conflictos socioambientales activos,Moquegua,25,2.98,25,2.51,25,2.15
Delitos denunciados por minería ilegal,Moquegua,5,0.25,11,0.45,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Moquegua,1,8.63,1,8.63,1,7.95
Agua no facturada,Moquegua,9,33.8,9,34.1,16,42.3
Viviendas informales,Moquegua,7,57.7,4,54.1,3,43.7
Pérdidas por incendios forestales,Moquegua,6,0.09,11,0.11,10,0.1
Ejecución del gasto destinado a prevención y reducción de desastres,Moquegua,19,81.4,18,76,12,77.6
Conflictos socioambientales activos,Pasco,22,0.75,22,1.5,24,1.84
Delitos denunciados por minería ilegal,Pasco,13,0.64,22,1.31,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Pasco,20,0.55,20,0.55,17,0.49
Agua no facturada,Pasco,5,31.3,10,34.6,1,13.1
Viviendas informales,Pasco,22,78.4,25,84,24,75.2
Pérdidas por incendios forestales,Pasco,16,0.51,15,0.29,11,0.12
Ejecución del gasto destinado a prevención y reducción de desastres,Pasco,25,40.5,19,73.5,5,86.3
Conflictos socioambientales activos,Piura,12,0.23,6,0.14,9,0.2
Delitos denunciados por minería ilegal,Piura,2,0.13,4,0.2,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Piura,17,0.73,17,0.73,20,0.39
Agua no facturada,Piura,24,62.5,24,61.4,22,51.7
Viviendas informales,Piura,12,64.5,13,68.3,17,63.3
Pérdidas por incendios forestales,Piura,7,0.1,6,0.02,8,0.05
Ejecución del gasto destinado a prevención y reducción de desastres,Piura,9,87.8,16,81.8,23,57.9
Conflictos socioambientales activos,Puno,21,0.74,18,0.74,19,0.73
Delitos denunciados por minería ilegal,Puno,18,1.36,8,0.33,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Puno,23,0.47,23,0.47,24,0.25
Agua no facturada,Puno,1,19.6,2,21.4,2,20.3
Viviendas informales,Puno,13,67.6,12,67.6,15,61.3
Pérdidas por incendios forestales,Puno,22,1.08,24,0.99,22,0.33
Ejecución del gasto destinado a prevención y reducción de desastres,Puno,8,88.3,9,87.5,6,86.2
Conflictos socioambientales activos,San Martin,1,0,5,0.11,7,0.12
Delitos denunciados por minería ilegal,San Martin,15,0.84,16,0.63,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,San Martin,3,3.43,3,3.43,6,1.9
Agua no facturada,San Martin,12,35.7,4,29.5,12,34
Viviendas informales,San Martin,20,75.9,17,72,13,60.6
Pérdidas por incendios forestales,San Martin,9,0.19,9,0.1,7,0.03
Ejecución del gasto destinado a prevención y reducción de desastres,San Martin,10,87.4,1,95.8,14,73.6
Conflictos socioambientales activos,Tacna,1,0,15,0.51,11,0.28
Delitos denunciados por minería ilegal,Tacna,10,0.45,17,0.64,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Tacna,2,3.72,2,4.18,3,2.83
Agua no facturada,Tacna,8,33.7,3,24.1,7,31.6
Viviendas informales,Tacna,2,50.5,1,49.6,1,37.6
Pérdidas por incendios forestales,Tacna,1,0.01,1,0.01,4,0.02
Ejecución del gasto destinado a prevención y reducción de desastres,Tacna,7,92.3,17,81.1,10,78.4
Conflictos socioambientales activos,Tumbes,14,0.38,11,0.38,1,0
Delitos denunciados por minería ilegal,Tumbes,4,0.19,10,0.38,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Tumbes,25,0.12,25,0.16,22,0.31
Agua no facturada,Tumbes,25,69.9,25,66.6,25,68.3
Viviendas informales,Tumbes,21,76.7,22,78,21,70
Pérdidas por incendios forestales,Tumbes,11,0.28,8,0.09,13,0.16
Ejecución del gasto destinado a prevención y reducción de desastres,Tumbes,12,84.9,10,87,17,69.5
Conflictos socioambientales activos,Ucayali,10,0.16,7,0.16,13,0.36
Delitos denunciados por minería ilegal,Ucayali,21,1.85,5,0.21,NA,NA
Áreas verdes en espacios públicos conservadas por la municipalidad,Ucayali,6,2.04,6,1.86,8,1.4
Agua no facturada,Ucayali,21,47.7,21,46.5,23,52.2
Viviendas informales,Ucayali,24,80.7,23,78.7,23,71.9
Pérdidas por incendios forestales,Ucayali,12,0.31,12,0.12,5,0.02
Ejecución del gasto destinado a prevención y reducción de desastres,Ucayali,16,83.9,20,73.4,3,90.9
